,Team,Score,Versus,Venue,Result,Scorecard
1,Punjab Kings,4/265,Delhi Capitals,Arun Jaitley Stadium,Punjab Kings won by 6 wickets,25/04/2026
2,Delhi Capitals,2/264,Punjab Kings,Arun Jaitley Stadium,Punjab Kings won by 6 wickets,25/04/2026
3,Sunrisers Hyderabad,4/255,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,Sunrisers Hyderabad won by 55 runs,22/05/2026
4,Punjab Kings,7/254,Lucknow Super Giants,Maharaja Yadavindra Singh International Cricket St,Punjab Kings won by 54 runs,19/04/2026
5,Royal Challengers Bengaluru,5/254,Gujarat Titans,Himachal Pradesh Cricket Association Stadium,Royal Challengers Bengaluru won by 92 runs,26/05/2026
6,Royal Challengers Bengaluru,3/250,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bengaluru won by 43 runs,05/04/2026
7,Sunrisers Hyderabad,4/249,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad won by 6 wickets,29/04/2026
8,Kolkata Knight Riders,2/247,Gujarat Titans,Eden Gardens,Kolkata Knight Riders won by 29 runs,16/05/2026
9,Mumbai Indians,5/243,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad won by 6 wickets,29/04/2026
10,Rajasthan Royals,8/243,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,Rajasthan Royals won by 47 runs,27/05/2026
11,Sunrisers Hyderabad,2/242,Delhi Capitals,Rajiv Gandhi International Stadium,Sunrisers Hyderabad won by 47 runs,21/04/2026
12,Royal Challengers Bengaluru,4/240,Mumbai Indians,Wankhede Stadium,Royal Challengers Bengaluru won by 18 runs,12/04/2026
13,Sunrisers Hyderabad,4/235,Punjab Kings,Rajiv Gandhi International Stadium,Sunrisers Hyderabad won by 33 runs,06/05/2026
14,Sunrisers Hyderabad,5/229,Rajasthan Royals,Sawai Mansingh Stadium,Sunrisers Hyderabad won by 5 wickets,25/04/2026
15,Mumbai Indians,4/229,Lucknow Super Giants,Wankhede Stadium,Mumbai Indians won by 6 wickets,04/05/2026
16,Gujarat Titans,4/229,Rajasthan Royals,Sawai Mansingh Stadium,Gujarat Titans won by 77 runs,09/05/2026
17,Gujarat Titans,4/229,Chennai Super Kings,Narendra Modi Stadium,Gujarat Titans won by 89 runs,21/05/2026
18,Rajasthan Royals,6/228,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad won by 5 wickets,25/04/2026
19,Rajasthan Royals,4/228,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,Rajasthan Royals won by 6 wickets,28/04/2026
20,Lucknow Super Giants,5/228,Mumbai Indians,Wankhede Stadium,Mumbai Indians won by 6 wickets,04/05/2026
